2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  BaseClass:169 - Facet on product eyecatcher is visible
2024-09-30 21-54-50 INFO  BaseClass:288 - Facet on product eyecatcher is : SALE
2024-09-30 21-54-50 INFO  ParfumPageObjects:218 - Count of filtered products: 48 and discount eyecatchers: 46 are matching
